Neighborhood  District,Year,Fire Incidents,Other Incidents
Treasure Island,2003,5,26
Treasure Island,2006,2,25
Treasure Island,2007,7,39
Treasure Island,2004,5,22
Treasure Island,2005,9,31
Treasure Island,2015,19,135
Treasure Island,2014,16,80
Treasure Island,2008,6,38
Treasure Island,2016,21,157
Treasure Island,2011,3,25
Treasure Island,2010,3,27
Treasure Island,2013,7,42
Treasure Island,2012,6,31
Pacific Heights,2016,69,835
Pacific Heights,2017,20,274
Pacific Heights,2003,74,722
Pacific Heights,2006,58,586
Pacific Heights,2007,87,603
Pacific Heights,2004,87,766
Pacific Heights,2005,56,701
Pacific Heights,2015,91,817
Pacific Heights,2014,80,717
Pacific Heights,2008,73,558
Pacific Heights,2009,96,608
Pacific Heights,2011,72,598
Pacific Heights,2010,87,613
Pacific Heights,2013,79,561
Pacific Heights,2012,89,635
Hayes Valley,2016,79,729
Hayes Valley,2017,32,233
Hayes Valley,2003,92,647
Hayes Valley,2006,103,481
Hayes Valley,2007,91,539
Hayes Valley,2004,96,622
Hayes Valley,2005,107,600
Hayes Valley,2015,81,686
Hayes Valley,2014,68,574
Hayes Valley,2008,81,565
Hayes Valley,2009,69,574
Hayes Valley,2011,84,589
Hayes Valley,2010,75,578
Hayes Valley,2013,78,695
Hayes Valley,2012,81,640
Excelsior,2016,29,508
Excelsior,2017,3,138
Excelsior,2003,37,343
Excelsior,2006,39,263
Excelsior,2007,31,280
Excelsior,2004,49,292
Excelsior,2005,39,241
Excelsior,2015,46,464
Excelsior,2014,36,395
Excelsior,2008,36,321
Excelsior,2009,45,283
Excelsior,2011,28,392
Excelsior,2010,29,311
Excelsior,2013,40,343
Excelsior,2012,35,374
Visitacion Valley,2016,40,246
Visitacion Valley,2017,9,100
Visitacion Valley,2003,32,216
Visitacion Valley,2006,21,108
Visitacion Valley,2007,29,154
Visitacion Valley,2004,31,136
Visitacion Valley,2005,23,120
Visitacion Valley,2015,38,209
Visitacion Valley,2014,40,200
Visitacion Valley,2008,20,146
Visitacion Valley,2009,27,146
Visitacion Valley,2011,29,184
Visitacion Valley,2010,26,192
Visitacion Valley,2013,22,158
Visitacion Valley,2012,18,162
Mission Bay,2016,78,572
Mission Bay,2017,20,167
Mission Bay,2003,35,218
Mission Bay,2006,48,225
Mission Bay,2007,44,293
Mission Bay,2004,42,248
Mission Bay,2005,29,253
Mission Bay,2015,65,493
Mission Bay,2014,38,308
Mission Bay,2008,47,283
Mission Bay,2009,59,310
Mission Bay,2011,50,296
Mission Bay,2010,57,329
Mission Bay,2013,32,290
Mission Bay,2012,45,306
Castro/Upper Market,2016,92,706
Castro/Upper Market,2017,35,240
Castro/Upper Market,2003,94,517
Castro/Upper Market,2006,80,419
Castro/Upper Market,2007,91,612
Castro/Upper Market,2004,91,551
Castro/Upper Market,2005,81,448
Castro/Upper Market,2015,118,728
Castro/Upper Market,2014,101,629
Castro/Upper Market,2008,100,620
